IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
420480;SC;CURITIBANOS;5168090;DR CESAR DOS SANTOS CASTRO;CESAR DOS SANTOS CASTRO;;;M;RUA CEL VIDAL RAMOS;1111;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5260930;DR EDUARDO DO PRADO;EDUARDO DO PRADO;;;M;RUA CEL ALBUQUERQUE;97;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5685079;DR RICARDO BARBOSA DOURADO;RICARDO BARBOSA DOURADO;;;M;RUA ALTINO GONCALVES DE FARIAS;1832;SAO FRANCISCO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5218756;MARLEI LUIZ PERDONCINI;MARLEI LUIZ PERDONCINI;;;M;RUA HERCILIO LUZ;372;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3339777;LABORATORIO DE ANALISES CLINICAS CONCEITO SC LTDA;LABORATORIO DE ANALISES CLINICAS CONCEITO SC LTDA;81537854000103;;M;RUA VIDAL RAMOS;770;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3831450;POSTO DE SAUDE SAO LUIZ;PREFEITURA MUNICIPAL DE CURITIBANOS;;83754044000134;M;AV RUI BARBOSA;740;SAO LUIZ;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3999254;DR LUIZ CARLOS DE ASSIS;LUIZ CARLOS DE ASSIS;;;M;AV VIDAL RAMOS;686;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5733804;CICLUS CLINICA DE FISIOTERAPIA;CICLUS CLINICA MULTIDICIPLINAR LTDA;08987330000124;;M;RUA LUIZ DACOL;88;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6095011;DR ALTINO LEMOS DE FARIAS;ALTINO LEMOS DE FARIAS;;;M;RUA CEL VIDAL RAMOS;261;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5145414;DR AIRTON LUIZ GUIDI;AIRTON LUIZ GUIDI;;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5107571;CENTRO TERAPEUTICO ALTERVIDA;SERVICOS TERAPEUTICOS B W LTDA;08286596000140;;M;AV ALTINO GONCALVES DE FARIAS;251;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5008328;DR DAVID MELO;DAVID MELO;;;M;RUA ARCHIAS GANZ;91;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;4059018;CLIN SERRA;CLIN SERRA CLINICA DE IMAGEM LTDA;02032300000188;;M;RUA ANA COSTA;168;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6338127;DR RAFAEL FELIPE RIBEIRO CANTARUTTI;RAFAEL FELIPE RIBEIRO CANTARUTTI;;;M;RUA LAGES;40;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6440738;DRA YELA FRANCO SCUR;YELA FRANCO SCUR;;;M;RUA CEL VIDAL RAMOS;454;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5260949;DR GUSTAVO ADOLFO RODRIGUES DE MIRANDA;GUSTAVO ADOLFO RODRIGUES DE MIRANDA;;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5145384;DR NELSON NOGUEIRA;BLUCARDIO CLINICA CARDIOLOGICA SC LTDA;01999346000108;;M;RUA ALTINO GONCALVES DE FARIAS;41;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5252725;DR GILMAR KRUKER;GILMAR KRUKER;;;M;RUA ARCHIAS GANZ;599;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5218780;EDSON MAURO DA SILVA;EDSON MAURO DA SILVA;;;M;RUA CEL VIDAL RAMOS;360;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;4058968;PROGRAMA MUNICIPAL DE SAUDE BUCAL;PREFEITURA MUNICIPAL DE CURITIBANOS;;83754044000134;M;RUA MAXIMINO DE MORAES;376;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5145430;DR SERGIO OGLIARI;SERGIO RICARDO OGLIARI;;;M;RUA VIDAL RAMOS;984;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5062063;PSICOCLIN CLINICA DE PSICOTERAPIA E PSICANALISE;LEONICE APARECIDA SILVA DE FOLCHINI;;;M;RUA LUIZ DACOL;439;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3000001;IMED;CLINICA MEDICA E IMAGEM SC LTDA;05213743000163;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6346898;DRA SANI TOSCAN;SANI TOSCAN;;;M;RUA ARCHIAS GANZ;91;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5252709;DR ALBARI GOETEN DE MORAES;ALBARI GOETEN DE MORAES;;;M;AV SALOMAO CARNEIRO DE ALMEIDA;666;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6393640;DRA ANA CRISTINA SORDI;ANA CRISTINA SORDI;;;M;RUA SALOMAO CARNEIRO DE ALMEIDA;388;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5307295;ANDREA NANCY PONTES GOMES;ANDREA NANCY PONTES GOMES;;;M;AV SALOMAO CARNEIRO DE ALMEIDA;388;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6470815;PATRICIA NASINIAKI SAQUET;PATRICIA NASINIAKI SAQUET;;;M;RUA ALTINO GONCALVES DE FARIAS;403;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;4058976;CLINICA HEMODIALISE DE CURITIBANOS LTDA;CLINICA HEMODIALISE DE CURITIBANOS LTDA;02057769000171;;E;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5008387;DR ALZANI ADRIANO SCUR;ALZANI ADRIANO SCUR;;;M;RUA VIDAL RAMOS;454;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3869113;CLINIAL CLINICA DE AUDICAO E LINGUAGEM;SOLANGE DACOL PELLIZZARO;05698597000103;;M;RUA MEDEIROS FILHO;306;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6408540;DR ADRIANO CAMPOS;ADRIANO CAMPOS;;;M;RUA MEDEIROS FILHO;101;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6390706;DRA ANA LIGIA FARIAS BELLOTTO;ANA LIGIA FARIAS BELLOTTO;;;M;RUA VIDAL RAMOS;925;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6729460;LABORATORIO DE PROTESE DENTAL MARCELO SPRICIGO;LABORATORIO DE PROTESE DENTAL MARCELO SPRICIGO;;;M;AV FREI ROGERIO;270;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6577237;ADROALDO DOS SANTOS BOCHI;ADROALDO DOS SANTOS BOCHI;;;M;RUA CEL HENRIQUE DE ALMEIDA;110;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6559360;POSTO DE SAUDE FREI NARCISO POLLMEIER;FUNDO MUNICIPAL DE SAUDE CURITIBANOS;;83754044000134;M;RUA VEREADOR LEONIDA B DE MORAES;129;SAO FRANCISCO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3946835;DR SERGIO PASA;SERGIO EDUARDO PASA;;;M;RAU CEL VIDAL RAMOS;758;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;2302101;HOSPITAL HELIO ANJOS ORTIZ;FUNDACAO HOSPITALAR DE CURITIBANOS;95991113000102;;E;RUA ALTINO GONCALVES DE FARIAS;1832;SAO FRANCISCO;89520000;-27.28300;-50.58400
420480;SC;CURITIBANOS;3934845;IRIS XAVIER;IRIS XAVIER;;;M;RUA CLAUDINO FONTANA;133;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3938549;DR JORGE LUIZ MORAES FRANKLIN;JORGE LUIZ MORAES FRANKLIN;;;M;RUA ALTINO GONCALVES DE FARIAS;1395;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5218772;VALERIA MITTERHOFER;VALERIA MITTERHOFER;;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6811744;R F R C C;REDE FEMININA REG DE COMBATE AO CANCER DE CURITIBANOS;78478021000104;;M;RUA LAURO MULLER;288;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3970795;LUCI CARMEM MADUREIRA MONTRONI;LUCI CARMEM MADUREIRA MONTRONI;;;M;RUA CEL VIDAL RAMOS;537;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3669289;CENTRO DE ATENCAO PSICOSSOCIAL;PREFEITURA MUNICIPAL DE CURITIBANOS;;83754044000134;M;RUA ARCHIAS GANZ;S/N;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3970787;STELLA MARIS TEIXEIRA;STELLA MARIS TEIXEIRA;;;M;RUA ANA COSTA;168;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3948250;DR AUREDY ANTONIO SELLA AGUIAR;AUREDY ANTONIO SELLA AGUIAR;;;M;AV SALOMAO CARNEIRO DE ALMEIDA;388;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6531865;SECRETARIA MUNICIPAL DE SAUDE DE CURITIBANOS;SECRETARIA MUNICIPAL DE SAUDE DE CURITIBANOS;;83754044000134;M;RUA MAXIMINO DE MORAES;376;CENTRO;89520000;-27.283;-50.584
420490;SC;DESCANSO;3978826;CLINICA MEDICA DR ODENIR JOSE BRIGHENTE;CLINICA MEDICA DR ODENIR JOSE BRIGHENTE;03206631000150;;M;RUA THOMAS KOPROSKI;520;JARDIM ITALIA;89910000;-26.82874;-53.49828
420490;SC;DESCANSO;2551624;LUIZ CARLOS SODER;LUIZ CARLOS SODER;;;M;RUA DA REPUBLICA;945;CENTRO;89910000;-26.82514;-53.50071
420490;SC;DESCANSO;3984389;SIDNEI FERNANDO CEOLIN;SIDNEI FERNANDO CEOLIN;;;M;RUA THOMAS KOPROSKI;520;CENTRO;89910000;-26.82851;-53.49972
420490;SC;DESCANSO;6129781;APAE DE DESCANSO;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DESCANSO;78483732000177;;M;RUA JOSE WRONSKI;299;JAROSESKI;89910000;-26.82064;-53.50812
420490;SC;DESCANSO;6516173;SECRETARIA MUNICIPAL DE SAUDE DE DESCANSO;MUNICIPIO DE DESCANSO;;83026138000197;M;RUA JOSE BONIFACIO;215;CENTRO;89910000;-26.82633;-53.50131
420490;SC;DESCANSO;6699987;CLINIMED;CEOLIN E CIA LTDA;05420909000112;;M;RUA THOMAS KOPROSKI;520;CENTRO;89910000;-26.82874;-53.49828
420490;SC;DESCANSO;2378922;CENTRO MUNICIPAL DE SAUDE DE DESCANSO;MUNICIPIO DE DESCANSO;;83026138000197;M;RUA JOSE BONIFACIO;215;CENTRO;89910000;-26.82633;-53.50131
420490;SC;DESCANSO;2378876;FUNDACAO MEDICA;FUNDACAO MEDICA ASSISTENCIAL DOS TRABALHADORES RURAIS;83520122000136;;D;RUA THOMAZ KOPROSKI;520;JARDIM ITALIA;89910000;-26.82845;-53.49985
420490;SC;DESCANSO;2551616;AIRTON OLIVEIRA PACHECO;AIRTON OLIVEIRA PACHECO;72198799000183;;M;RUA MARTIN PIASESKI;420;CENTRO;89910000;-26.82687;-53.50286
420500;SC;DIONISIO CERQUEIRA;2551543;LUIZ CARLOS BOSCATTO;CONSULTORIO DENTARIO;;;M;RUA MARIO CLAUDIO TURRA;131;CENTRO;89950000;-26.25556;-53.64024
420500;SC;DIONISIO CERQUEIRA;2822423;UNIDADE SAUDE DA FAMILIA IDAMAR;UNIDADE SAUDE DA FAMILIA IDAMAR;;83026773000174;M;DISTRITO DE IDAMAR;S/N;DISTRITO;89950000;-26.29458;-53.54572
420500;SC;DIONISIO CERQUEIRA;5333709;CLINICA PEDIATRICA DR JAIR MARAN;ANTONIO JAIR SCHREINER MARAN ME;19571170000154;;M;RUA FELIPE SCHMIDT;317;CENTRO;89950000;-26.255;-53.64
420500;SC;DIONISIO CERQUEIRA;2378701;UNIDADE SAUDE DA FAMILIA SEDE DE DIONISIO CERQUEIRA;UNIDADE SAUDE DA FAMILIA SEDE DE DIONISIO CERQUEIRA;;83026773000174;M;RUA JOAO LOUREIRO;S/N;CENTRO;89950000;-26.26378;-53.63327
420500;SC;DIONISIO CERQUEIRA;2378590;UNIDADE SAUDE DA FAMILIA SAO PEDRO TOBIAS;UNIDADE SAUDE DA FAMILIA SAO PEDRO TOBIAS;;83026773000174;M;DISTRITO SAO PEDRO TOBIAS;S/N;INTERIOR;89950000;-26.34280;-53.57285
420500;SC;DIONISIO CERQUEIRA;6236731;FISIOCLINIC;IVONETE EDINA RUSCHEL OLEGARIO;04278281000108;;M;AV SANTA CATARINA;160;CENTRO;89950000;-26.25335;-53.63777
420500;SC;DIONISIO CERQUEIRA;6820352;COSLAB;COSLAB COSTA LABORATORIO LTDA;05568966000496;;M;RUA SETE DE SETEMBRO;275;CENTRO;89950000;-26.25319;-53.64114
420500;SC;DIONISIO CERQUEIRA;6431771;LABORATORIO PROTEUS;RODRIGO DOS PASSOS E CIA LTDA;11320038000168;;M;RUA VEREADOR JOAO VERONA;300;CENTRO;89950000;-26.26645;-53.63936
420280;SC;BRACO DO NORTE;2665867;POLICLINICA MUNICIPAL DE BRACO DO NORTE;PREFEITURA MUNICIPAL DE BRACO DO NORTE;;82926551000145;M;RUA SENADOR NEREU RAMOS;2636;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;5142571;CLINORTE;CLINORTE CLINICA DE FISIOTERAPIA LTDA;97442461000156;;M;RUA BERNARDO LOCKS;119;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;4058119;UNIDADE DE ENFRETAMENTO EMERGENCIA;PREFEITURA MUNICIPAL DE BRACO DO NORTE;;82926551000145;M;OSVALDO WESTIPHAL;250;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;2385325;PROGRAMA SAUDE DA FAMILIA ESF RIO BONITO;PREFEITURA MUNICIPAL DE BRACO DO NORTE;;82926551000145;M;RUA JOSE ISMAEL DA SILVA;S/N;RIO BONITO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;6188443;KARLA CRISTINE DA SILVA CONCEICAO;KARLA CRISTINE DA SILVA CONCEICAO;;;M;RUA BERNARDO LOCKS;29;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;6335160;THIAGO DE AZEVEDO BORGES DE SOUZA;THIAGO DE AZEVEDO BORGES DE SOUZA;;;M;AV FELIPE SCHMIDT;1169;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;2385309;LABORATORIO SANTA ISABEL;LABORATORIO DE ANALISES CLINICAS SANTA ISABEL LTDA;76838333000156;;M;RUA JACOB BATISTA ULIANO;121;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;6415369;MONICA WERNER SALVALAGGIO;MONICA WERNER SALVALAGGIO;;;M;AV FELIPE SCHMIDT;S/N;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;6188486;ROSSANA COLLACO ALBERTON HAAS;ROSSANA COLLACO ALBERTON HAAS;;;M;RUA BERNARDO LOCKS;30;CENTRO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;2665913;PROGRAMA SAUDE DA FAMILIA ESF SAO BASILIO;PREFEITURA MUNICIPAL DE BRACO DO NORTE;;82926551000145;M;RUA JOAO EFFETING;200;SAO BASILIO;88750000;-28.27500;-49.16600
420280;SC;BRACO DO NORTE;6494315;EDERBAL FOREST DA SILVA;EDERBAL FOREST DA SILVA;;;M;AV FELIPE SCHMIDT;1970;CENTRO;88750000;-28.27500;-49.16600
420285;SC;BRACO DO TROMBUDO;2377241;UNIDADE SANITARIA CENTRO DE BRACO DO TROMBUDO;PREFEITURA MUNICIPAL DE BRACO DO TROMBUDO;;95952230000167;M;RUA LEOPOLDO JOENCK;119;CENTRO;89178000;-27.35800;-49.88600
420285;SC;BRACO DO TROMBUDO;2377276;LAR DE IDOSOS RECANTO DO SOSSEGO;PREFEITURA MUNICIPAL DE BRACO DO TROMBUDO;;95952230000167;M;KM 10;S/N;INTERIOR;89178000;-27.35800;-49.88600
420285;SC;BRACO DO TROMBUDO;2377268;UNIDADE SANITARIA SERRIL;PREFEITURA MUNICIPAL DE BRACO DO TROMBUDO;;95952230000167;M;ESTRADA GERAL;S/N;SERRIL;89178000;-27.35800;-49.88600
420287;SC;BRUNOPOLIS;6382622;SECRETARIA MUNICIPAL DE SAUDE DE BRUNOPOLIS;PREFEITURA MUNICIPAL DE BRUNOPOLIS;;01613853000161;M;RUA ARMINDO LEOBET;441;CENTRO;89634000;-27.306;-50.868
420287;SC;BRUNOPOLIS;2689936;U S MAROMBAS;PREFEITURA MUNICIPAL BRUNOPOLIS;;01613853000161;M;RUA PRINCIPAL;S/N;CENTRO;89634000;-27.33108;-50.76644
420290;SC;BRUSQUE;7041195;UNIDADE DE SAUDE PAQUETA;MUNICIPIO DE BRUSQUE;;83102343000194;M;RUA WALDEMAR HOFFMANN;S/N;AGUAS CLARAS;88353496;-27.14125;-48.92073
420290;SC;BRUSQUE;5881269;FABIO BENEDETTI RODRIGUES;FABIO BENEDETTI RODRIGUES;;;M;RUA FELIPE SCHMIDT;172;CENTRO;88351000;-27.09800;-48.91800
420290;SC;BRUSQUE;2522470;SINDMESTRE;SIND DOS MESTRES E CONTRA MESTRES IND FIAC TEC BRUSQUE;82990789000130;;M;ARTHUR KISTENMACHER;96;CENTRO;88353060;-27.09800;-48.91800
420290;SC;BRUSQUE;6303218;QUALIFISIO;QUALIFISIO CLINICA DE FISIOTERAPIA DE AZAMBUJA LTDA ME;10911430000119;;M;AZAMBUJA;1089;AZAMBUJA;88353902;-27.09800;-48.91800
420290;SC;BRUSQUE;2642018;PAULO ROBERTO PANKO;PAULO ROBERTO PANKO;;;M;RUA ARNO CARLOS GRACHER;57;CENTRO;88350310;-27.09800;-48.91800
420290;SC;BRUSQUE;2642050;DANIELA CELA;DANIELA CELA;;;M;RUA ARNO CARLOS GRACHER;57;CENTRO;88350310;-27.09800;-48.91800
420290;SC;BRUSQUE;5880866;GILDO JOSE DA SILVA;GILDO JOSE DA SILVA;;;M;RUA BARAO DO RIO BRANCO;40;CENTRO;88350200;-27.09800;-48.91800
420290;SC;BRUSQUE;5877105;FERNANDO LUIZ MACHADO;FERNANDO LUIZ MACHADO;;;M;ROD ANTONIO HEIL;66;SANTA TEREZINHA;88353100;-27.09800;-48.91800
420290;SC;BRUSQUE;5971993;DANIELA SALVADOR ALVES;DANIELA SALVADOR ALVES;;;M;RUA FELIPE SCHMIDT;172;SAO LUIZ;88351000;-27.09800;-48.91800
420290;SC;BRUSQUE;6442218;SECRETARIA MUNICIPAL DE SAUDE DE BRUSQUE;MUNICIPIO DE BRUSQUE;;83102343000194;M;RUA PREFEITO GERMANO SCHAEFER;66;CENTRO;88350170;-27.09894;-48.91381
420290;SC;BRUSQUE;6353142;CLINICA DE SERVICOS MEDICOS BRUSQUE SS LTDA;CLINICA DE SERVICOS MEDICOS BRUSQUE SS LTDA;10972843000103;;M;BARAO DO RIO BRANCO;40;CENTRO;88350200;-27.09498;-48.91379
420290;SC;BRUSQUE;6235034;CLINI VITA;CLINI VITA CLINICA DE ANESTESIOLOGIA LTDA ME;04961740000145;;M;PADRE GATONE;20;CENTRO;88350350;-27.09861;-48.91846
420290;SC;BRUSQUE;6428460;CLINICA DE FISIOTERAPIA MUNICIPAL;MUNICIPIO DE BRUSQUE;;83102343000194;M;RUA GERMANO SCHAEFFER;110;CENTRO;88350040;-27.098;-48.918
420290;SC;BRUSQUE;6415326;16 GERENCIA DE SAUDE BRUSQUE;SECRETARIA DE ESTADO DA SAUDE;;82951245000169;E;RUA BARAO DO RIO BRANCO;206;CENTRO;88350200;-27.09800;-48.91800
420290;SC;BRUSQUE;6018432;MARCUS VINICIUS BAUER MORITZ;MARCUS VINICIUS BAUER MORITZ;;;M;RUA HERCILIO LUZ;228;CENTRO;88350301;-27.09800;-48.91800
420290;SC;BRUSQUE;6272894;CORPO DE BOMBEIROS DE BRUSQUE;CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA;;06096391000257;M;AV ARNO CARLOS GRACHER;412;CENTRO;88350310;-27.09101;-48.90701
420290;SC;BRUSQUE;2641844;DENIA DONIT E PANKO;DENIA DONIT E PANKO;;;M;RUA ARNO CARLOS GRACHER;57;CENTRO;88350310;-27.09800;-48.91800
420290;SC;BRUSQUE;6279937;CONSULTORIO ODONTOLOGICO DR GUILHERME HEIL;GUILHERME ANTONIO HEIL;;;M;RUA HENRICH R B ERBE;30;CENTRO;88350020;-27.09800;-48.91800
420290;SC;BRUSQUE;6300960;CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS;MUNICIPIO DE BRUSQUE;;83102343000194;M;RUA PREFEITO GERMANO SCHAEFER;66;CENTRO;88350170;-27.09886;-48.91383
420290;SC;BRUSQUE;5889081;ANDRESSA BORNSCHEIN;ANDRESSA BORNSCHEIN;;;M;RUA FELIPE SCHMIDT;172;SAO LUIZ;88351000;-27.09800;-48.91800
420290;SC;BRUSQUE;6732429;CLINICA DA MULHER DE BRUSQUE;MUNICIPIO DE BRUSQUE;;83102343000194;M;RUA PREFEITO GERMANO SCHAEFER;66;CENTRO;88350170;-27.09886;-48.91381
420290;SC;BRUSQUE;6709478;CLINICA DE RADIOLOGIA AZAMBUJA LTDA;CLINICA DE RADIOLOGIA AZAMBUJA S S LTDA;12757792000122;;M;AZAMBUJA;1089;AZAMBUJA;88353460;-27.09800;-48.91800
420290;SC;BRUSQUE;6621953;RAFAEL SAADI JUNIOR;SAADI JUNIOR TOMAZELLI CLINICA MEDICA LTDA ME;11730752000124;;M;AUGUSTO BAUER;240;JARDIM MALUCHE;88354040;-27.09800;-48.91800
420290;SC;BRUSQUE;6612172;JOSIANE FISCHER;JOSIANE FISCHER;;;M;RUA JOAO BAUER;380;CENTRO;88351402;-27.09800;-48.91800
420290;SC;BRUSQUE;6769330;CLINICA BRUSQUE DE MEDICOS ASSOCIADOS SS LTDA;CLINICA BRUSQUE DE MEDICOS ASSOCIADOS SS LTDA;12886695000130;;M;PASTOR SANDRESCKY;148;CENTRO;88350040;-27.09534;-48.91844
420290;SC;BRUSQUE;6624472;DENISE LOPES LORENZON;DENISE LOPES LORENZON;;;M;RUA PASTOR SANDRESKY;153;CENTRO;88350040;-27.09800;-48.91800
420290;SC;BRUSQUE;6680275;SINTRICOMB;SINDICATO TRAB NA IND DA CONSTRUCAO E MOB DE BRUSQUE;82990904000176;;M;FRANCISCO CERVI;39;CENTRO;88353030;-27.09800;-48.91800
420290;SC;BRUSQUE;7045263;CAPS AD BRUSQUE;MUNICIPIO DE BRUSQUE;;83102343000194;M;RUA AUGUSTO BAUER;7;MALUCHE;88354040;-27.10520;-48.92332
420290;SC;BRUSQUE;6811760;PHYSIS CLINICA DE FISIOTERAPIA;PHYSIS CLINICA DE FISIOTERAPIA LTDA ME;13719417000150;;M;AUGUSTO BAUER;108;JARDIM MALUCHE;88354040;-27.09800;-48.91800
420290;SC;BRUSQUE;6889409;CLINICA MEDICA GALDEANO;CLINICA MEDICA GALDEANO EIRELI;29649392000104;;M;RODRIGUES ALVES;165;CENTRO;88350160;-27.09733;-48.91475
420290;SC;BRUSQUE;6929842;CLINICA UNIDA DE SERVICOS MEDICOS;CLINICA UNIDA DE SERVICOS MEDICOS SS LTDA;13690777000177;;M;VEREADOR GUILHERME NIEBUHR;101;CENTRO;88350110;-27.09444;-48.91569
420290;SC;BRUSQUE;6751679;CENTRO OFTALMOLOGICO DE BRUSQUE;CARRAMILLO MENINO LTDA;12032191000152;;M;EDUARDO VON BUETTNER;20;CENTRO;88350050;-27.09488;-48.91959
420290;SC;BRUSQUE;6420311;UNIDADE DE SAUDE POCO FUNDO;MUNICIPIO DE BRUSQUE;;83102343000194;M;JULIO DE MODESTI;S/N;POCO FUNDO;88357062;-27.12558;-48.87463
